method,sigma,C,title,accuracy,macro_f1,cm,n_shapelets,shapelet_lengths,hidden_dims,dropout,hidden_size,num_layers,bidirectional,channels,kernel_size
GAK+SVM,auto,1.0,GAK+SVM,0.7333333333333333,0.7315392257252723,"[[16, 4, 0, 0, 0, 0], [4, 11, 5, 0, 0, 0], [2, 0, 18, 0, 0, 0], [0, 1, 0, 16, 2, 1], [2, 0, 0, 6, 12, 0], [0, 1, 0, 3, 1, 15]]",,,,,,,,,
GAK+SVM,0.5,0.1,GAK+SVM sigma=0.5 C=0.1,0.16666666666666666,0.047619047619047616,"[[0, 20, 0, 0, 0, 0], [0, 20, 0, 0, 0, 0], [0, 20, 0, 0, 0, 0], [0, 20, 0, 0, 0, 0], [0, 20, 0, 0, 0, 0], [0, 20, 0, 0, 0, 0]]",,,,,,,,,
GAK+SVM,0.5,1.0,GAK+SVM sigma=0.5 C=1.0,0.175,0.06383464656845951,"[[0, 0, 0, 0, 0, 20], [0, 0, 0, 0, 0, 20], [0, 0, 0, 0, 0, 20], [0, 0, 0, 0, 0, 20], [0, 0, 0, 0, 1, 19], [0, 0, 0, 0, 0, 20]]",,,,,,,,,
GAK+SVM,0.5,10.0,GAK+SVM sigma=0.5 C=10.0,0.175,0.06383464656845951,"[[0, 0, 0, 0, 0, 20], [0, 0, 0, 0, 0, 20], [0, 0, 0, 0, 0, 20], [0, 0, 0, 0, 0, 20], [0, 0, 0, 0, 1, 19], [0, 0, 0, 0, 0, 20]]",,,,,,,,,
GAK+SVM,1.0,0.1,GAK+SVM sigma=1.0 C=0.1,0.16666666666666666,0.047619047619047616,"[[0, 20, 0, 0, 0, 0], [0, 20, 0, 0, 0, 0], [0, 20, 0, 0, 0, 0], [0, 20, 0, 0, 0, 0], [0, 20, 0, 0, 0, 0], [0, 20, 0, 0, 0, 0]]",,,,,,,,,
GAK+SVM,1.0,1.0,GAK+SVM sigma=1.0 C=1.0,0.18333333333333332,0.0800552104899931,"[[0, 0, 0, 0, 0, 20], [0, 0, 0, 0, 0, 20], [0, 0, 0, 0, 0, 20], [0, 0, 0, 1, 0, 19], [0, 0, 0, 0, 1, 19], [0, 0, 0, 0, 0, 20]]",,,,,,,,,
GAK+SVM,1.0,10.0,GAK+SVM sigma=1.0 C=10.0,0.18333333333333332,0.0800552104899931,"[[0, 0, 0, 0, 0, 20], [0, 0, 0, 0, 0, 20], [0, 0, 0, 0, 0, 20], [0, 0, 0, 1, 0, 19], [0, 0, 0, 0, 1, 19], [0, 0, 0, 0, 0, 20]]",,,,,,,,,
GAK+SVM,2.0,0.1,GAK+SVM sigma=2.0 C=0.1,0.16666666666666666,0.047619047619047616,"[[0, 20, 0, 0, 0, 0], [0, 20, 0, 0, 0, 0], [0, 20, 0, 0, 0, 0], [0, 20, 0, 0, 0, 0], [0, 20, 0, 0, 0, 0], [0, 20, 0, 0, 0, 0]]",,,,,,,,,
GAK+SVM,2.0,1.0,GAK+SVM sigma=2.0 C=1.0,0.5916666666666667,0.5263937532917035,"[[9, 0, 0, 0, 7, 4], [0, 0, 11, 0, 2, 7], [0, 0, 20, 0, 0, 0], [0, 0, 0, 18, 1, 1], [0, 0, 0, 11, 8, 1], [0, 0, 0, 4, 0, 16]]",,,,,,,,,
GAK+SVM,2.0,10.0,GAK+SVM sigma=2.0 C=10.0,0.5916666666666667,0.5263937532917035,"[[9, 0, 0, 0, 7, 4], [0, 0, 11, 0, 2, 7], [0, 0, 20, 0, 0, 0], [0, 0, 0, 18, 1, 1], [0, 0, 0, 11, 8, 1], [0, 0, 0, 4, 0, 16]]",,,,,,,,,
